platform	format	family	communication	width	height	path	sha256
facebook	Carousel 4:5	02_Field_Event_Story / Result / Learning	FIELD,EVENT	1080	1350	04_Templates/facebook/03_Carousels/02_Field_Event_Story/06_Result_Learning.svg	4c6431c8cdcfb72d5fae7f8dfec16389c8a66a3ffffc182a1d118c460c7f8c84
facebook	Carousel 4:5	02_Field_Event_Story / Closing / Source	FIELD,EVENT	1080	1350	04_Templates/facebook/03_Carousels/02_Field_Event_Story/07_Closing_Source.svg	baa2aca127e4de981da4fe08c13c91395b89b71ea540758125fe22a0427ba9ff
facebook	Carousel 4:5	03_Observance / Observance Title	OBS	1080	1350	04_Templates/facebook/03_Carousels/03_Observance/01_Observance_Title.svg	842297e65b802c384287df8538663e02a4b18bfedd1716e172d35eca9a1070f5
facebook	Carousel 4:5	03_Observance / HSF Relevance	OBS	1080	1350	04_Templates/facebook/03_Carousels/03_Observance/02_HSF_Relevance.svg	62ae464a5719b7251d1e664c7d1caa79324595282539ebb1ceaebec05f1d006c
facebook	Carousel 4:5	03_Observance / Fact / Issue	OBS	1080	1350	04_Templates/facebook/03_Carousels/03_Observance/03_Fact_Issue.svg	76620c54ddf900f75bdf46e36cea163ace1120a541f9d55ae5f398829022ac14
facebook	Carousel 4:5	03_Observance / HSF Connection	OBS	1080	1350	04_Templates/facebook/03_Carousels/03_Observance/04_HSF_Connection.svg	e2a50922095f4cff5e6f4e422eb0fc0cda241e27040719fda9c6d4d933eb8a77
facebook	Carousel 4:5	03_Observance / Action / Source	OBS	1080	1350	04_Templates/facebook/03_Carousels/03_Observance/05_Action_Source.svg	64766f8538589255cd003f00aa17a0811e459d0ff1ad17195fc15573e85c163c
facebook	Carousel 4:5	04_Foundation_Memory / Anniversary	HSF	1080	1350	04_Templates/facebook/03_Carousels/04_Foundation_Memory/01_Anniversary.svg	c951e8fe9c65100686fb9c757840869d7704a0d45b28c12c42f9d731734d33be
facebook	Carousel 4:5	04_Foundation_Memory / Where We Began	HSF	1080	1350	04_Templates/facebook/03_Carousels/04_Foundation_Memory/02_Where_We_Began.svg	f18a340cb0bf96f7a5f25bbeec3162c9f3b3262228e97ebd8b6229acea05cc14
facebook	Carousel 4:5	04_Foundation_Memory / People	HSF	1080	1350	04_Templates/facebook/03_Carousels/04_Foundation_Memory/03_People.svg	17bf15d4c6e6e566e229179095bbd30d8a99eb13e970a2be8a4ff9825785c705
facebook	Carousel 4:5	04_Foundation_Memory / Milestones	HSF	1080	1350	04_Templates/facebook/03_Carousels/04_Foundation_Memory/04_Milestones.svg	d929b5e476b126139a4cde99419b32d9891f18ba0f78ed8daf1147e2f20ce215
facebook	Carousel 4:5	04_Foundation_Memory / Programmes	HSF	1080	1350	04_Templates/facebook/03_Carousels/04_Foundation_Memory/05_Programmes.svg	4b771065b622ef5ed7ed3c41940ef46b662a43a0001959433d045808a39ddc6f
facebook	Carousel 4:5	04_Foundation_Memory / Lessons	HSF	1080	1350	04_Templates/facebook/03_Carousels/04_Foundation_Memory/06_Lessons.svg	69c19992904fdeca900e274de48cea6481e88492f70eee12cc7deb25d63ee59c
facebook	Carousel 4:5	04_Foundation_Memory / Gratitude	HSF	1080	1350	04_Templates/facebook/03_Carousels/04_Foundation_Memory/07_Gratitude.svg	04af2261a8d1604eedee339cd52e37db9d28d09d42a5fbdda674d77ce0636aaa
